indicator_id,indicator_name,category
2_1_all_other_visas_2,All other visas_2,2_1
2_1_no_previous_visa_held_or_known_2,No previous visa held or known_2,2_1
2_1_total_2,Total_2,2_1
2_2_primary_applicant,Primary applicant,2_2
2_2_secondary_applicant,Secondary applicant,2_2
2_2_total,Total,2_2
2_3_post_higher_education_work2,Post-Higher Education Work2,2_3
2_3_highly_specialised_work3,Highly Specialised Work3,2_3
2_3_post_vocational_education_work2,Post-Vocational Education Work2,2_3
2_3_entertainment,Entertainment,2_3
2_3_pacific_australia_labour_mobility_scheme4,Pacific Australia Labour Mobility Scheme4,2_3
2_3_invited_for_other_social_and_cultural_activity5,Invited for Other Social and Cultural Activity5,2_3
2_3_temporary_resident_other_not_further_specified,Temporary Resident - Other (Not Further Specified),2_3
2_3_family_temporary,Family (Temporary),2_3
2_3_research_activities,Research Activities,2_3
