Year,variable,value,sheet
2016–17,In Australia by gender - total | % Female,46.665601673008226,1.2
2017–18,In Australia by gender - total | % Female,47.894133658047416,1.2
2018–19,In Australia by gender - total | % Female,47.72176869657263,1.2
2019–20,In Australia by gender - total | % Female,47.927096725402706,1.2
2020–21,In Australia by gender - total | % Female,47.19531346496568,1.2
2021–22,In Australia by gender - total | % Female,47.286547342164695,1.2
2022–23,In Australia by gender - total | % Female,48.754694177062206,1.2
2023–24,In Australia by gender - total | % Female,46.85971855234998,1.2
2024–25,In Australia by gender - total | % Female,46.83749797075388,1.2
2015–16,In Australia by gender - total | Male,39707.0,1.2
2016–17,In Australia by gender - total | Male,36725.0,1.2
2017–18,In Australia by gender - total | Male,29098.0,1.2
2018–19,In Australia by gender - total | Male,32596.0,1.2
2019–20,In Australia by gender - total | Male,34428.0,1.2
2020–21,In Australia by gender - total | Male,29926.0,1.2
2021–22,In Australia by gender - total | Male,31277.0,1.2
2022–23,In Australia by gender - total | Male,47488.0,1.2
2023–24,In Australia by gender - total | Male,44446.0,1.2
2024–25,In Australia by gender - total | Male,42572.0,1.2
2015–16,In Australia by gender - total | % Male,53.58714135334287,1.2
2016–17,In Australia by gender - total | % Male,53.33439832699178,1.2
2017–18,In Australia by gender - total | % Male,52.10586634195258,1.2
2018–19,In Australia by gender - total | % Male,52.27823130342737,1.2
2019–20,In Australia by gender - total | % Male,52.072903274597294,1.2
2020–21,In Australia by gender - total | % Male,52.80468653503432,1.2
2021–22,In Australia by gender - total | % Male,52.713452657835305,1.2
2022–23,In Australia by gender - total | % Male,51.2453058229378,1.2
2023–24,In Australia by gender - total | % Male,53.14028144765002,1.2
2024–25,In Australia by gender - total | % Male,53.16250202924612,1.2
2015–16,In Australia by gender - total | Total1,74126.0,1.2
2016–17,In Australia by gender - total | Total1,68869.0,1.2
2017–18,In Australia by gender - total | Total1,55853.0,1.2
2018–19,In Australia by gender - total | Total1,62366.0,1.2
2019–20,In Australia by gender - total | Total1,66133.0,1.2
2020–21,In Australia by gender - total | Total1,56687.0,1.2
2021–22,In Australia by gender - total | Total1,59355.0,1.2
2022–23,In Australia by gender - total | Total1,92694.0,1.2
2023–24,In Australia by gender - total | Total1,83663.0,1.2
2024–25,In Australia by gender - total | Total1,80095.0,1.2
2015–16,Skill stream total by location | Outside Australia,54424.0,1.2
2016–17,Skill stream total by location | Outside Australia,54698.0,1.2
2017–18,Skill stream total by location | Outside Australia,55246.0,1.2
2018–19,Skill stream total by location | Outside Australia,47347.0,1.2
2019–20,Skill stream total by location | Outside Australia,29710.0,1.2
2020–21,Skill stream total by location | Outside Australia,22933.0,1.2
2021–22,Skill stream total by location | Outside Australia,29708.0,1.2
2022–23,Skill stream total by location | Outside Australia,49650.0,1.2
2023–24,Skill stream total by location | Outside Australia,53437.0,1.2
2024–25,Skill stream total by location | Outside Australia,52053.0,1.2
2015–16,Skill stream total by location | % Outside Australia,42.33683391676391,1.2
2016–17,Skill stream total by location | % Outside Australia,44.26586386332921,1.2
2017–18,Skill stream total by location | % Outside Australia,49.72682022340435,1.2
2018–19,Skill stream total by location | % Outside Australia,43.15532343477984,1.2
2019–20,Skill stream total by location | % Outside Australia,30.99861231388834,1.2
2020–21,Skill stream total by location | % Outside Australia,28.80306455664406,1.2
2021–22,Skill stream total by location | % Outside Australia,33.35616361452006,1.2
2022–23,Skill stream total by location | % Outside Australia,34.880290001686056,1.2
2023–24,Skill stream total by location | % Outside Australia,38.97665937272064,1.2
2024–25,Skill stream total by location | % Outside Australia,39.38992644610588,1.2
2015–16,Skill stream total by location | In Australia,74126.0,1.2
2016–17,Skill stream total by location | In Australia,68869.0,1.2
2017–18,Skill stream total by location | In Australia,55853.0,1.2
2018–19,Skill stream total by location | In Australia,62366.0,1.2
2019–20,Skill stream total by location | In Australia,66133.0,1.2
2020–21,Skill stream total by location | In Australia,56687.0,1.2
2021–22,Skill stream total by location | In Australia,59355.0,1.2
2022–23,Skill stream total by location | In Australia,92694.0,1.2
2023–24,Skill stream total by location | In Australia,83663.0,1.2
2024–25,Skill stream total by location | In Australia,80095.0,1.2
2015–16,Skill stream total by location | % In Australia,57.66316608323609,1.2
2016–17,Skill stream total by location | % In Australia,55.7341361366708,1.2
2017–18,Skill stream total by location | % In Australia,50.27317977659565,1.2
2018–19,Skill stream total by location | % In Australia,56.84467656522016,1.2
2019–20,Skill stream total by location | % In Australia,69.00138768611166,1.2
2020–21,Skill stream total by location | % In Australia,71.19693544335594,1.2
2021–22,Skill stream total by location | % In Australia,66.64383638547994,1.2
2022–23,Skill stream total by location | % In Australia,65.11970999831395,1.2
2023–24,Skill stream total by location | % In Australia,61.02334062727935,1.2
2024–25,Skill stream total by location | % In Australia,60.61007355389412,1.2
2015–16,Skill stream total by location | Total,128550.0,1.2
2016–17,Skill stream total by location | Total,123567.0,1.2
2017–18,Skill stream total by location | Total,111099.0,1.2
2018–19,Skill stream total by location | Total,109713.0,1.2
2019–20,Skill stream total by location | Total,95843.0,1.2
2020–21,Skill stream total by location | Total,79620.0,1.2
2021–22,Skill stream total by location | Total,89063.0,1.2
2022–23,Skill stream total by location | Total,142344.0,1.2
2023–24,Skill stream total by location | Total,137100.0,1.2
2024–25,Skill stream total by location | Total,132148.0,1.2
